20010521	,18.55648854961832
20010522	,13.010576923076924
20010523	,11.455
20010524	,10.83109243697479
20010525	,10.575609756097563
20010526	,10.42241379310345
20010527	,11.194642857142854
20010528	,13.134905660377358
20010529	,12.105376344086022
20010530	,11.27
20010531	,11.5
20010601	,12.136507936507934
20010602	,12.685046728971964
20010603	,11.066055045871558
20010604	,10.175961538461538
20010605	,11.284210526315787
20010606	,12.938524590163937
20010607	,15.041346153846156
20010608	,16.55578947368421
20010609	,16.750561797752813
20010610	,19.252688172043005
20010611	,22.230681818181814
20010612	,21.802678571428572
20010613	,26.143617021276597
20010614	,28.08510638297873
20010615	,23.206603773584902
20010616	,22.61333333333333
20010617	,22.865555555555556
20010618	,24.898969072164945
20010619	,26.35333333333333
20010620	,20.27582417582418
20010621	,17.634579439252338
20010622	,15.63619047619048
20010623	,16.801075268817208
20010624	,19.33260869565217
20010625	,22.470786516853927
20010626	,24.415384615384617
20010627	,24.44148936170213
20010628	,24.453763440860218
20010629	,25.229999999999997
20010630	,26.695698924731182
20010701	,20.791666666666668
20010702	,15.566304347826083
20010703	,20.903669724770648
20010704	,24.826595744680848
20010705	,20.022727272727273
20010706	,18.785555555555558
20010707	,23.932407407407414
20010708	,26.10851063829787
20010709	,25.338095238095235
20010710	,26.70333333333333
20010711	,21.361797752808986
20010712	,21.103333333333335
20010713	,20.97078651685393
20010714	,23.312222222222218
20010715	,24.49230769230769
20010716	,24.636263736263743
20010717	,24.781578947368427
20010718	,24.443000000000005
20010719	,25.307692307692314
20010720	,26.341176470588238
20010721	,28.339130434782607
20010722	,26.340366972477064
20010723	,25.993396226415097
20010724	,26.510989010989015
20010725	,22.67259259259259
20010726	,22.12452830188679
20010727	,21.40434782608696
20010728	,22.650000000000002
20010729	,24.12
20010730	,24.285436893203883
20010731	,27.605376344086025
20010801	,29.052222222222216
20010802	,25.221374045801543
20010803	,24.896363636363635
20010804	,24.111702127659573
20010805	,25.60434782608696
20010806	,27.398913043478263
20010807	,28.770833333333332
20010808	,29.55368421052632
20010809	,29.519148936170215
20010810	,23.27809523809524
20010811	,21.38809523809524
20010812	,22.11521739130435
20010813	,22.16315789473684
20010814	,19.952747252747248
20010815	,20.64528301886792
20010816	,17.870625000000004
20010817	,19.394871794871793
20010818	,20.090551181102363
20010819	,18.988888888888887
20010820	,20.213043478260875
20010821	,20.95423728813559
20010822	,23.084337349397586
20010823	,22.194117647058814
20010824	,22.001418439716314
20010825	,23.13693181818181
20010826	,23.27481481481481
20010827	,23.711206896551722
20010828	,22.659374999999997
20010829	,20.837068965517236
20010830	,24.312820512820508
20010831	,21.63880597014925
20010901	,17.328813559322032
20010902	,18.112173913043485
20010903	,23.015652173913043
20010904	,21.65964912280702
20010905	,18.903448275862072
20010906	,21.786324786324787
20010907	,23.377483443708606
20010908	,24.680645161290318
20010909	,19.62848484848484
20010910	,17.814049586776864
20010911	,18.775438596491224
20010912	,21.72072072072072
20010913	,18.799186991869924
20010914	,15.066379310344828
20010915	,15.214782608695648
20010916	,15.598260869565214
20010917	,16.832758620689653
20010918	,16.978787878787877
20010919	,17.828160919540235
20010920	,17.199173553719007
20010921	,17.478235294117642
20010922	,17.16695652173913
20010923	,16.492814371257484
20010924	,10.58527131782946
20010925	,9.1929203539823
20010926	,13.320175438596493
20010927	,12.479310344827587
20010928	,12.214399999999998
20010929	,13.507826086956518
20010930	,13.280158730158732
20011001	,17.027118644067798
20011002	,18.92982456140351
